id,depart,departLane,departPos,departSpeed,departDelay,arrival,arrivalLane,arrivalPos,arrivalSpeed,duration,routeLength,waitingTime,waitingCount,stopTime,timeLoss,rerouteNo,devices,vType,speedFactor,vaporized
f_W_peak_e.3358,31674.00,W2C_0,2.30,0.00,0.00,31773.00,C2E_0,483.20,11.55,99.00,997.70,6.00,1,0.00,25.11,0,tripinfo_f_W_peak_e.3358,motorcycle,0.98,
f_W_peak_e.3360,31681.00,W2C_0,4.60,0.00,1.00,31774.00,C2E_2,483.20,13.08,93.00,995.40,0.00,0,0.00,17.44,0,tripinfo_f_W_peak_e.3360,car,0.95,
f_E_peak_e.2898,30550.00,E2C_0,2.30,0.00,256.00,31775.00,C2W_0,483.20,12.93,1225.00,997.70,510.00,80,0.00,1160.08,0,tripinfo_f_E_peak_e.2898,motorcycle,1.11,
f_E_peak_e.2876,30419.00,E2C_0,2.30,0.00,191.00,31776.00,C2W_1,483.20,10.85,1357.00,997.70,700.00,87,0.00,1272.57,0,tripinfo_f_E_peak_e.2876,motorcycle,0.85,
f_E_peak_e.2860,30355.00,E2C_0,2.30,0.00,175.00,31777.00,C2W_0,483.20,13.44,1422.00,997.70,708.00,84,0.00,1347.56,0,tripinfo_f_E_peak_e.2860,motorcycle,0.98,
f_S_peak_e.3293,31483.00,S2C_0,2.30,0.00,4.00,31779.00,C2N_1,483.20,16.17,296.00,997.70,150.00,14,0.00,233.94,0,tripinfo_f_S_peak_e.3293,motorcycle,1.17,
f_W_peak_e.3337,31612.00,W2C_0,12.10,0.00,1.00,31780.00,C2S_0,483.20,13.60,168.00,983.97,50.00,4,0.00,95.84,0,tripinfo_f_W_peak_e.3337,bus,1.00,
f_S_peak_e.3365,31695.00,S2C_0,12.10,0.00,0.00,31781.00,C2W_1,483.20,13.60,86.00,963.33,0.00,0,0.00,15.16,0,tripinfo_f_S_peak_e.3365,bus,1.00,
f_S_peak_e.3370,31710.00,S2C_0,3.10,0.00,0.00,31781.00,C2W_2,483.20,16.01,71.00,972.33,0.00,0,0.00,11.67,0,tripinfo_f_S_peak_e.3370,rickshaw,1.20,
f_S_peak_e.3277,31431.00,S2C_0,2.30,0.00,0.00,31786.00,C2N_0,483.20,11.38,355.00,997.70,173.00,16,0.00,281.30,0,tripinfo_f_S_peak_e.3277,motorcycle,0.98,
f_S_peak_e.3288,31464.00,S2C_0,3.10,0.00,0.00,31787.00,C2N_1,483.20,12.95,323.00,996.90,168.00,15,0.00,247.64,0,tripinfo_f_S_peak_e.3288,rickshaw,0.95,
f_S_peak_e.3358,31674.00,S2C_0,2.30,0.00,0.00,31787.00,C2W_0,483.20,10.42,113.00,973.13,13.00,1,0.00,29.18,0,tripinfo_f_S_peak_e.3358,motorcycle,0.85,
f_S_peak_e.3265,31398.00,S2C_0,12.10,0.00,3.00,31789.00,C2N_2,483.20,13.76,391.00,987.90,191.00,16,0.00,318.99,0,tripinfo_f_S_peak_e.3265,bus,1.00,
f_S_peak_e.3286,31458.00,S2C_0,3.10,0.00,0.00,31790.00,C2N_1,483.20,13.37,332.00,996.90,154.00,10,0.00,261.38,0,tripinfo_f_S_peak_e.3286,rickshaw,1.02,
f_S_peak_e.3278,31434.00,S2C_0,4.60,0.00,0.00,31791.00,C2N_0,483.20,11.48,357.00,995.40,168.00,14,0.00,274.92,0,tripinfo_f_S_peak_e.3278,car,0.88,
f_S_peak_e.3282,31449.00,S2C_0,2.30,0.00,3.00,31792.00,C2N_3,483.20,14.31,343.00,997.70,151.00,12,0.00,280.99,0,tripinfo_f_S_peak_e.3282,motorcycle,1.17,
