id,depart,departLane,departPos,departSpeed,departDelay,arrival,arrivalLane,arrivalPos,arrivalSpeed,duration,routeLength,waitingTime,waitingCount,stopTime,timeLoss,rerouteNo,devices,vType,speedFactor,vaporized
f_N_peak_e.2860,31027.00,N2C_0,4.60,0.00,847.00,31632.00,C2S_2,483.20,13.85,605.00,995.40,430.00,16,0.00,536.32,0,tripinfo_f_N_peak_e.2860,car,1.06,
f_N_peak_e.2977,31272.00,N2C_0,2.30,0.00,741.00,31635.00,C2S_0,483.20,10.64,363.00,997.70,95.00,8,0.00,276.70,0,tripinfo_f_N_peak_e.2977,motorcycle,0.83,
f_S_peak_e.2875,31384.00,S2C_0,2.30,0.00,1159.00,31636.00,C2N_0,483.20,10.68,252.00,997.70,123.00,8,0.00,173.79,0,tripinfo_f_S_peak_e.2875,motorcycle,0.92,
f_N_peak_e.3066,31455.00,N2C_0,3.10,0.00,657.00,31637.00,C2S_1,483.20,11.71,182.00,996.90,53.00,5,0.00,100.80,0,tripinfo_f_N_peak_e.3066,rickshaw,0.89,
f_S_peak_e.2789,30543.00,S2C_0,2.30,0.00,576.00,31638.00,C2N_1,483.20,13.70,1095.00,997.70,675.00,54,0.00,1024.55,0,tripinfo_f_S_peak_e.2789,motorcycle,1.03,
f_S_peak_e.2751,30402.00,S2C_0,4.60,0.00,549.00,31639.00,C2N_0,483.20,11.99,1237.00,995.40,672.00,50,0.00,1156.43,0,tripinfo_f_S_peak_e.2751,car,0.89,
f_N_peak_e.2984,31283.00,N2C_0,8.10,0.00,731.00,31639.00,C2S_1,483.20,14.70,356.00,991.90,88.00,8,0.00,288.12,0,tripinfo_f_N_peak_e.2984,truck,1.07,
f_N_peak_e.3075,31475.00,N2C_0,8.10,0.00,650.00,31639.00,C2S_0,483.20,13.18,164.00,991.90,36.00,5,0.00,89.38,0,tripinfo_f_N_peak_e.3075,truck,0.96,
f_S_peak_e.2874,31382.00,S2C_0,2.30,0.00,1160.00,31641.00,C2N_0,483.20,9.76,259.00,997.70,133.00,7,0.00,175.67,0,tripinfo_f_S_peak_e.2874,motorcycle,0.86,
f_N_peak_e.2994,31306.00,N2C_0,2.30,0.00,724.00,31641.00,C2S_1,483.20,13.64,335.00,997.70,79.00,7,0.00,271.27,0,tripinfo_f_N_peak_e.2994,motorcycle,1.14,
f_S_peak_e.2849,31278.00,S2C_0,8.10,0.00,1131.00,31643.00,C2N_1,483.20,13.94,365.00,991.90,205.00,18,0.00,294.41,0,tripinfo_f_S_peak_e.2849,truck,1.02,
f_N_peak_e.3088,31505.00,N2C_0,3.10,0.00,641.00,31643.00,C2S_1,483.20,15.69,138.00,996.90,40.00,5,0.00,75.38,0,tripinfo_f_N_peak_e.3088,rickshaw,1.16,
f_S_peak_e.2876,31386.00,S2C_0,4.60,0.00,1158.00,31644.00,C2N_0,483.20,11.87,258.00,995.40,131.00,11,0.00,176.45,0,tripinfo_f_S_peak_e.2876,car,0.88,
f_S_peak_e.2797,30558.00,S2C_0,12.10,0.00,567.00,31647.00,C2N_0,483.20,13.62,1089.00,987.90,704.00,34,0.00,1017.00,0,tripinfo_f_S_peak_e.2797,bus,1.00,
f_N_peak_e.2996,31308.00,N2C_0,2.30,0.00,720.00,31647.00,C2S_0,483.20,12.15,339.00,997.70,72.00,7,0.00,264.70,0,tripinfo_f_N_peak_e.2996,motorcycle,0.97,
f_N_peak_e.3000,31315.00,N2C_0,8.10,0.00,715.00,31649.00,C2S_0,483.20,14.24,334.00,991.90,67.00,5,0.00,264.21,0,tripinfo_f_N_peak_e.3000,truck,1.03,
f_N_peak_e.3081,31488.00,N2C_0,3.10,0.00,645.00,31649.00,C2S_1,483.20,13.69,161.00,996.90,34.00,4,0.00,88.97,0,tripinfo_f_N_peak_e.3081,rickshaw,1.01,
f_S_peak_e.2662,30056.00,S2C_0,2.30,0.00,470.00,31651.00,C2N_1,483.20,13.74,1595.00,997.70,1198.00,62,0.00,1524.69,0,tripinfo_f_S_peak_e.2662,motorcycle,1.03,
f_S_peak_e.2742,30384.00,S2C_0,2.30,0.00,558.00,31655.00,C2N_0,483.20,11.91,1271.00,997.70,740.00,64,0.00,1193.73,0,tripinfo_f_S_peak_e.2742,motorcycle,0.94,
f_S_peak_e.2722,30337.00,S2C_0,2.30,0.00,571.00,31656.00,C2N_0,483.20,12.12,1319.00,997.70,840.00,63,0.00,1244.54,0,tripinfo_f_S_peak_e.2722,motorcycle,0.97,
f_S_peak_e.1811,27432.00,S2C_0,3.10,0.00,399.00,31658.00,C2E_1,483.20,13.67,4226.00,992.97,3422.00,204,0.00,4154.82,0,tripinfo_f_S_peak_e.1811,rickshaw,1.02,
